,0
0,380919
1,740723
2,1290371
3,2060027
4,2523457
5,2932419
6,3267837
7,3948045
8,4422479
9,4709959
10,5295207
11,5762997
12,6408219
13,6890343
14,7428767
15,7997175
16,8692637
17,9083917
18,9639351
19,9968919
20,10427475
21,10860147
22,11258123
23,12019295
24,12478541
25,12951501
26,13637767
27,14022907
28,14538677
29,15205385
30,15648183
31,16331255
32,16715351
33,17109881
34,17567181
35,17988011
36,18809551
37,19161589
38,19491945
39,19887721
40,20489211
41,21013101
42,21478113
43,22054263
44,22604063
45,23029669
46,23350405
47,23955103
48,24685727
49,25197531
50,25673929
51,26260789
52,26735515
53,27252007
54,27631791
55,28146135
56,28786793
57,29076057
58,29715957
59,30365407
60,30909435
61,31686781
62,32242341
63,32875747
64,33488645
65,33980041
66,34415513
67,34773439
68,35374429
69,35667491
70,36056043
71,36626099
72,37209311
73,37786229
74,38275065
75,38658769
76,39240719
77,39912683
78,40307527
79,41001919
80,41264371
81,41686513
82,42104893
83,42393045
84,42863603
85,43259495
86,43846739
87,44226553
88,44798765
89,45050677
90,45241127
91,46003979
92,46315475
93,46594109
94,47045283
95,47306031
96,47612857
97,47988195
98,48503555
99,49217871
100,49614891
101,50265863
102,51143541
103,51562281
104,51765057
105,52379321
106,52889163
107,53252247
108,53695925
109,54225007
110,54829615
111,55473321
112,55856715
113,56115909
114,56716811
115,57053851
116,57537859
117,58141045
118,58726709
119,59267247
120,59623187
121,60108017
122,60495859
123,60819509
124,61303343
125,61803575
126,62175501
127,62664109
128,62974291
129,63511121
130,64124297
131,64587959
132,65099637
133,65373813
134,65899037
135,66369129
136,66830939
137,67347609
138,67786433
139,68345489
140,68749101
141,69096741
142,69417543
143,69803937
144,70088533
145,70677827
146,71146213
147,71647635
148,71926325
149,72276529
150,72809727
151,73042911
152,73240761
153,73503137
154,73763121
155,74165767
156,74340907
157,74616835
158,74981381
159,75344895
160,75892985
161,76242883
162,76584483
163,76797579
164,77172383
165,77573937
166,77727705
167,78166331
168,78567367
169,78789185
170,79098153
171,79563727
172,79905669
173,80181295
174,80548049
175,80933097
176,81203179
177,81379439
178,81743161
179,82361795
180,82873931
181,83211787
182,83467321
183,83896233
184,84434907
185,84767175
186,84991243
187,85453727
188,85844657
189,86284479
190,86581221
191,87075349
192,87592281
193,88140145
194,88504633
195,89229975
196,89567539
197,89894697
198,90248483
199,90481141
200,91023095
201,91418675
202,91711429
203,92188333
204,92532975
205,93076367
206,93686325
207,94187605
208,94832793
209,95511343
210,95868133
211,96436525
212,96678735
213,96976439
214,97363783
215,97830043
216,98317509
217,98801795
218,99330733
219,99480363
220,99652973
221,99869457
222,100284341
223,100507769
224,100746239
225,101240301
226,101685373
227,102032885
228,102360341
229,102691569
230,103217143
231,103666971
232,104040627
233,104293849
234,104858567
235,105214717
236,105398943
237,105960773
238,106394491
239,106952315
240,107363063
241,107775691
242,107908825
243,108236221
244,108674837
245,108996209
246,109144095
247,109459013
248,109882815
249,110353697
250,110768175
251,111523667
252,111786035
253,112436041
254,112866223
255,113295849
256,114014295
257,114259907
258,114475987
259,115178805
260,115556169
261,115832495
262,116367525
263,116673195
264,116900773
265,117337073
266,117724017
267,118405349
268,118886721
269,119304801
270,119781197
271,120617261
272,121286201
273,121612257
274,122188493
275,122811371
276,123371821
277,123843789
278,124282139
279,125114257
280,125439633
281,126414853
282,127150131
283,127674863
284,128150179
285,128508127
286,129224189
287,129907561
288,130464641
289,130879929
290,131286191
291,132012353
292,132299679
293,132654411
294,132965439
295,133551489
296,134137131
297,134430051
298,134925499
299,135246945
300,135579505
301,136004335
302,136387513
303,136791309
304,137184111
305,137677543
306,137887061
307,138272995
308,138577335
309,138777743
310,139266843
311,139485549
312,139728421
313,140040631
314,140307355
315,140575523
316,140773789
317,141095511
318,141326029
319,141511059
320,141876433
321,142140115
322,142586983
323,143185905
324,143476553
325,143797309
326,144245929
327,144620489
328,145313305
329,145593665
330,145966943
331,146164013
332,146614217
333,147146375
334,147361983
335,147600737
336,147890783
337,148342995
338,148806171
339,149184417
340,149625939
341,150222157
342,150835783
343,151055777
344,151461287
345,152001331
346,152705193
347,153294413
348,153734289
349,154174357
350,154624229
351,155072521
352,155469557
353,155857499
354,156356907
355,157001599
356,157599089
357,158262207
358,159120963
359,159859585
360,160419401
361,161079949
362,161366795
363,161812523
364,162023201
365,162229903
366,162969421
367,163494769
368,163790667
369,164124837
370,164452407
371,164902431
372,165095093
373,165607823
374,165795743
375,166057439
376,166389507
377,166695691
378,167174723
379,167647451
380,167938687
381,168335955
382,169247615
383,169623107
384,170038501
385,170372801
386,171145193
387,171617111
388,172376629
389,172960913
390,173689933
391,174356925
392,175017611
393,175577711
394,175885927
395,176208601
396,176571253
397,177078125
398,177620527
399,177970739
400,178477885
401,178803933
402,178988291
403,179611069
404,180099639
405,180492019
406,181056071
407,181427465
408,181795109
409,182342303
