Point-of-Sale_ID,Measures,Value
1,0,609151.0
2,0,390484.0
3,0,602120.0
4,0,797480.0
5,0,423022.0
6,0,391811.0
7,0,292544.0
8,0,776041.0
9,0,456590.0
10,0,261983.0
11,0,590485.0
12,0,423616.0
13,0,673919.0
14,0,466380.0
15,0,510697.0
16,0,698716.0
17,0,801195.0
18,0,408946.0
19,0,583166.0
20,0,283795.0
21,0,413219.0
22,0,651087.0
23,0,392671.0
24,0,749384.0
25,0,432031.0
26,0,523956.0
27,0,686275.0
28,0,320866.0
29,0,565139.0
30,0,669454.0
31,0,396852.0
32,0,716424.0
33,0,361538.0
34,0,397200.0
35,0,422491.0
36,0,405275.0
37,0,987002.0
38,0,315074.0
39,0,315712.0
40,0,375933.0
41,0,670129.0
42,0,975637.0
43,0,540691.0
44,0,688812.0
45,0,651012.0
46,0,389917.0
47,0,296507.0
48,0,1057880.0
49,0,833774.0
50,0,536048.0
51,0,453288.0
52,0,614409.0
53,0,470635.0
54,0,529914.0
55,0,331426.0
56,0,740275.0
57,0,801145.0
58,0,533341.0
59,0,641924.0
60,0,772023.0
61,0,566641.0
62,0,990405.0
63,0,587477.0
64,0,726815.0
65,0,725336.0
66,0,516770.0
67,0,503874.0
68,0,315991.0
69,0,594560.0
70,0,266120.0
71,0,715800.0
72,0,1051391.0
73,0,808602.0
74,0,598720.0
75,0,510636.0
76,0,391255.0
77,0,592223.0
78,0,1217720.0
79,0,669925.0
80,0,799222.0
81,0,299240.0
82,0,389558.0
83,0,370931.0
84,0,411491.0
85,0,508556.0
86,0,369179.0
87,0,587910.0
88,0,311631.0
89,0,579787.0
90,0,430537.0
91,0,156171.0
92,0,1143981.0
93,0,436613.0
94,0,214108.0
95,0,395698.0
96,0,226281.0
97,0,253616.0
98,0,332544.0
99,0,524289.0
100,0,837262.0
101,0,375587.0
102,0,692652.0
103,0,1127792.0
104,0,478831.0
105,0,171969.0
106,0,736600.0
107,0,542554.0
108,0,320499.0
109,0,424622.0
110,0,566547.0
111,0,647744.0
112,0,680764.0
113,0,534364.0
114,0,384413.0
115,0,655256.0
116,0,344136.0
117,0,828076.0
118,0,580446.0
119,0,578372.0
120,0,569417.0
121,0,311387.0
122,0,424110.0
123,0,426774.0
124,0,255940.0
125,0,562355.0
126,0,484650.0
127,0,307334.0
128,0,461161.0
129,0,284261.0
130,0,592026.0
131,0,674925.0
132,0,475732.0
133,0,499350.0
134,0,258771.0
135,0,606735.0
136,0,707020.0
137,0,459250.0
138,0,519566.0
139,0,539612.0
140,0,585060.0
141,0,366805.0
142,0,459238.0
143,0,326036.0
144,0,400282.0
145,0,273267.0
146,0,554923.0
147,0,456328.0
148,0,490982.0
149,0,466065.0
150,0,367322.0
151,0,683624.0
152,0,219846.0
153,0,215075.0
154,0,236203.0
155,0,266685.0
156,0,390070.0
157,0,160978.0
158,0,223851.0
159,0,529409.0
160,0,333006.0
161,0,635654.0
162,0,337187.0
163,0,386907.0
164,0,293833.0
165,0,341003.0
166,0,351570.0
167,0,127603.0
168,0,438684.0
169,0,338822.0
170,0,329487.0
171,0,285715.0
172,0,548463.0
173,0,311092.0
174,0,231631.0
175,0,344879.0
176,0,347668.0
177,0,207805.0
178,0,147051.0
179,0,295314.0
180,0,659358.0
181,0,482423.0
182,0,517405.0
183,0,246394.0
184,0,492760.0
185,0,624248.0
186,0,282379.0
187,0,204107.0
188,0,444418.0
189,0,348690.0
190,0,414901.0
191,0,274317.0
192,0,515347.0
193,0,576697.0
194,0,574526.0
195,0,319688.0
196,0,822275.0
197,0,313226.0
198,0,326787.0
199,0,340423.0
200,0,178794.0
201,0,589358.0
202,0,336891.0
203,0,269965.0
204,0,468763.0
205,0,323284.0
206,0,531629.0
207,0,574453.0
208,0,491556.0
209,0,848996.0
210,0,796176.0
211,0,299691.0
212,0,550698.0
213,0,391661.0
214,0,314593.0
215,0,726681.0
216,0,454254.0
217,0,566696.0
218,0,476487.0
219,0,524344.0
220,0,204622.0
221,0,128599.0
222,0,295315.0
223,0,409880.0
224,0,231062.0
225,0,236703.0
226,0,503865.0
227,0,394064.0
228,0,314442.0
229,0,279326.0
230,0,296208.0
231,0,625916.0
232,0,500621.0
233,0,377987.0
234,0,220371.0
235,0,665237.0
236,0,319253.0
237,0,145729.0
238,0,572098.0
239,0,448061.0
240,0,542318.0
241,0,396172.0
242,0,380399.0
243,0,91599.0
244,0,290075.0
245,0,457551.0
246,0,262089.0
247,0,182570.0
248,0,282383.0
249,0,415242.0
250,0,605896.0
251,0,724633.0
252,0,901738.0
253,0,223506.0
254,0,778560.0
255,0,407386.0
256,0,422713.0
257,0,772445.0
258,0,429529.0
259,0,247138.0
260,0,859044.0
261,0,339998.0
262,0,318147.0
263,0,601989.0
264,0,459829.0
265,0,355975.0
266,0,407344.0
267,0,375310.0
268,0,777638.0
269,0,499493.0
270,0,475779.0
271,0,460215.0
272,0,1157980.0
273,0,734598.0
274,0,348420.0
275,0,625681.0
276,0,702759.0
277,0,750291.0
278,0,525636.0
279,0,459016.0
280,0,1201569.0
281,0,332200.0
282,0,1059257.0
283,0,771093.0
284,0,480046.0
285,0,442402.0
286,0,486535.0
287,0,778024.0
288,0,741691.0
289,0,548502.0
290,0,374459.0
291,0,343927.0
292,0,1429100.0
293,0,261731.0
294,0,318822.0
295,0,271123.0
296,0,718907.0
297,0,640831.0
298,0,264166.0
299,0,508354.0
300,0,308191.0
301,0,282830.0
302,0,385167.0
303,0,327060.0
304,0,586708.0
305,0,313018.0
306,0,441307.0
307,0,155097.0
308,0,384269.0
309,0,259521.0
310,0,174595.0
311,0,403819.0
312,0,373568.0
313,0,198853.0
314,0,394492.0
315,0,221690.0
316,0,247934.0
317,0,196688.0
318,0,263579.0
319,0,183250.0
320,0,168925.0
321,0,365105.0
322,0,384655.0
323,0,617432.0
324,0,600457.0
325,0,473029.0
326,0,272385.0
327,0,475737.0
328,0,316125.0
329,0,679321.0
330,0,394837.0
331,0,392664.0
332,0,181189.0
333,0,779978.0
334,0,589113.0
335,0,329469.0
336,0,235088.0
337,0,236999.0
338,0,520404.0
339,0,425145.0
340,0,531143.0
341,0,421087.0
342,0,575057.0
343,0,648086.0
344,0,192770.0
345,0,602254.0
346,0,529442.0
347,0,939118.0
348,0,705273.0
349,0,432652.0
350,0,389190.0
351,0,569055.0
352,0,384164.0
353,0,388753.0
354,0,323515.0
355,0,585096.0
356,0,989654.0
357,0,567332.0
358,0,687403.0
359,0,1053420.0
360,0,963583.0
361,0,549283.0
362,0,866814.0
363,0,288146.0
364,0,419092.0
365,0,153226.0
366,0,155707.0
367,0,813595.0
368,0,458879.0
369,0,259255.0
370,0,267561.0
371,0,270728.0
372,0,396316.0
373,0,146769.0
374,0,616151.0
375,0,151506.0
376,0,236927.0
377,0,346345.0
378,0,341693.0
379,0,435554.0
380,0,468812.0
381,0,381383.0
382,0,606877.0
383,0,1082013.0
384,0,312598.0
385,0,353563.0
386,0,291080.0
387,0,772001.0
388,0,708514.0
389,0,750038.0
390,0,594064.0
391,0,742274.0
392,0,689900.0
393,0,667665.0
394,0,547313.0
395,0,268635.0
396,0,331686.0
397,0,351450.0
398,0,677877.0
399,0,749371.0
400,0,368389.0
401,0,538098.0
402,0,342752.0
403,0,278446.0
404,0,839756.0
405,0,712893.0
406,0,494233.0
407,0,784910.0
408,0,456295.0
409,0,445346.0
410,0,868698.0
